Team, QB, RB, WR, TE, OL, Offense, DL, LB, S, CB, Defense
Cowboys, 23926148, 9073966, 19837501, 9867494, 21408752, 84113861, 14994947, 16163174, 10322503, 18715375, 60195999
Redskins, 22237334, 2438948, 23519793, 8387911, 26263648, 82847634, 9799579, 16294454, 7736030, 10733385, 44563448
Steelers, 25334805, 4958346, 16891785, 4133728, 28392364, 79711028, 14224578, 30494261, 7261255, 6603699, 58583793
Patriots, 15259305, 5014925, 17034672, 12945867, 26800280, 77055049, 19806762, 13450124, 12755434, 4775449, 50787769
Chargers, 17180000, 7457629, 18017691, 8274768, 25538138, 76468226, 22739134, 15605202, 7089050, 18462884, 63896270
Falcons, 25631100, 1852741, 21945916, 5486900, 21046268, 75962925, 24627035, 10513747, 4903067, 6580038, 46623887
Vikings, 12430538, 13666191, 8596564, 7804564, 32758723, 75256580, 27239617, 12675405, 12296656, 17114207, 69325885
Bears, 20140353, 2164522, 23453575, 4156185, 25044099, 74958734, 10412395, 35310983, 3207801, 10122886, 59054065
Panthers, 21450000, 10958863, 8550593, 8019942, 25068477, 74047875, 15572244, 18305233, 5567091, 3505394, 42949962
Colts, 19980000, 5653333, 14669690, 11144550, 20978970, 72426543, 10341107, 23846314, 4557088, 16866511, 55611020
Bengals, 14195413, 7582248, 17903068, 4895878, 26963355, 71539962, 31257053, 15238247, 10284532, 20688645, 77468477
Buccaneers, 8192029, 9960806, 20084145, 4192568, 28332177, 70761725, 32879948, 15028993, 6268340, 20939450, 75116731
Cardinals, 20967647, 5171763, 19444110, 5572231, 19298535, 70454286, 23672865, 18300280, 11210539, 16623998, 69807682
Raiders, 4623009, 2818849, 19361975, 5870639, 36972041, 69646513, 17869921, 19389125, 12697085, 20847900, 70804031
Packers, 19910320, 4891731, 20326344, 3544204, 20810535, 69483134, 14048475, 34780061, 10901780, 16459880, 76190196
Lions, 23338824, 3971695, 17619492, 6514242, 17174595, 68618848, 17318764, 13539421, 10635266, 8624986, 50118437
Giants, 25595300, 9665597, 16493051, 3014714, 13326066, 68094728, 33891629, 12327645, 3598913, 21773434, 71591621
Ravens, 24056900, 2492212, 13645766, 8534564, 18007403, 66736845, 7240013, 21911672, 18916487, 13055152, 61123324
Jets, 10107898, 5337110, 20760335, 2530923, 27906184, 66642450, 21905558, 13511294, 7858962, 24531901, 67807715
Jaguars, 10864196, 5551588, 14724668, 11943324, 23218590, 66302366, 40513354, 11310962, 7553819, 16930497, 76308632
Eagles, 9960643, 10317028, 4931355, 6394996, 33187976, 64791998, 29617028, 12105117, 11431668, 6807479, 59961292
Chiefs, 20232200, 8750346, 15365136, 4923789, 15060778, 64332249, 17326136, 28474783, 15661151, 5252667, 66714737
Texans, 14412646, 7911734, 6448981, 2062362, 31103538, 61939261, 29171728, 22364361, 5327548, 19939515, 76803152
Titans, 7534058, 7603960, 14852328, 10992080, 20398613, 61381039, 16030883, 24561209, 10382798, 13084964, 64059854
Bills, 10286322, 10305929, 13321463, 7994746, 19315114, 61223574, 22682421, 15762722, 14367753, 15208647, 68021543
49ers, 23694507, 3028926, 11876072, 5615042, 16923639, 61138186, 12233787, 26791111, 11674570, 9075198, 59774666
Dolphins, 13281182, 1974686, 6367688, 10542299, 28772146, 60938001, 42464751, 8873417, 12588782, 12245508, 76172458
Rams, 9453311, 6684248, 17565083, 7779092, 18948473, 60430207, 34625253, 3449864, 10720685, 16785738, 65581540
Seahawks, 18997000, 2569171, 13750952, 12684653, 6307577, 54309353, 22256779, 16143673, 17920176, 20642727, 76963355
Saints, 18617300, 4961190, 5224319, 5726719, 19176356, 53705884, 14422130, 9977450, 16579686, 4828050, 45807316
Broncos, 2261161, 7652724, 24631438, 4002548, 14289846, 52837717, 22599746, 21047120, 11486444, 22287618, 77420928
Browns, 11022385, 2873269, 8060225, 3663632, 20849784, 46469295, 11120534, 8127098, 2053713, 23877666, 45179011
