Team, QB, RB, WR, TE, OL, Offense, DL, LB, S, CB, Defense
Steelers, 21330000, 15975000, 20185519, 9882228, 38950788, 106323535, 19118857, 17679286, 11950938, 11703796, 60452877
Cowboys, 26415848, 9119395, 27793334, 16895683, 23440858, 103665118, 26953748, 15564512, 5992072, 11419758, 59930090
Redskins, 28117934, 5562242, 13878819, 13234167, 36803178, 97596340, 12937666, 26922880, 12870833, 25428820, 78160199
Eagles, 8302804, 10606145, 23326651, 10849333, 44424580, 97509513, 36224022, 14971217, 16460000, 5767964, 73423203
Falcons, 28330000, 4554417, 30094651, 5188714, 29100663, 97268445, 35680563, 9442726, 7948499, 19312485, 72384273
Cardinals, 29355000, 3789843, 24936484, 6500140, 28865793, 93447260, 12761930, 27502871, 17140416, 21418639, 78823856
Panthers, 22881000, 11781345, 13722716, 14761668, 29022257, 92168986, 36031778, 25845599, 9015000, 7270914, 78163291
Chargers, 21625000, 6212226, 22531000, 9272570, 29395570, 89036366, 25453027, 24642944, 12708750, 11796615, 74601336
Packers, 21975908, 2648636, 30552429, 8478504, 24953126, 88608603, 20790160, 28265904, 11645075, 9713157, 70414296
Bills, 11934182, 11095229, 13416379, 11837500, 39796495, 88079785, 30088574, 22167715, 17500000, 5741368, 75497657
Browns, 17775246, 5196023, 12992918, 2600232, 48352549, 86916968, 15336720, 25200030, 3957841, 22802000, 67296591
Patriots, 15883702, 13470522, 17793114, 14471500, 24471495, 86090333, 18131084, 13493434, 23157241, 16821321, 71603080
Ravens, 27555000, 6611612, 15958271, 12423687, 22271167, 84819737, 10941102, 17546386, 14513333, 23322126, 66322947
Raiders, 3044182, 5262299, 22262517, 11369272, 42389218, 84327488, 17467446, 13717664, 11827281, 22844787, 65857178
Chiefs, 19148750, 5866443, 19704662, 8668400, 30726312, 84114567, 19743766, 43239649, 15598951, 7608546, 86190912
Colts, 22405000, 6819583, 20771628, 10630000, 23473070, 84099281, 23991727, 27218227, 3632415, 18080000, 72922369
Saints, 20440000, 7696190, 9025069, 13276666, 32993983, 83431908, 24788023, 17953668, 21758795, 6655285, 71155771
Vikings, 23168971, 5870000, 14009003, 8768864, 28943739, 80760577, 39816843, 11301188, 11671056, 20941036, 83730123
Bengals, 16975413, 8281828, 26484906, 9455135, 19311592, 80508874, 31452978, 17166732, 10634921, 24784041, 84038672
Bears, 16836250, 3853757, 20307945, 9578333, 29664028, 80240313, 13784960, 38178156, 7934443, 20983722, 80881281
Lions, 23005000, 5324098, 20961250, 7035788, 23763851, 80089987, 31560019, 19973615, 11789641, 21540984, 84864259
Seahawks, 19345000, 8206712, 21489560, 13606220, 15590897, 78238389, 26658867, 20623976, 20990008, 24071208, 92344059
Rams, 7850957, 7181521, 26241968, 4460111, 29379478, 75114035, 32969580, 16480615, 16766676, 29839951, 96056822
Dolphins, 23605000, 4812518, 11997173, 9505000, 24344713, 74264404, 43141372, 13797222, 12008360, 13915062, 82862016
Buccaneers, 9810985, 13205023, 22130478, 3785000, 24895890, 73827376, 43113889, 10858723, 8333040, 18352194, 80657846
Giants, 22267500, 7952305, 14747018, 4370714, 23770824, 73108361, 41363094, 14960360, 6133943, 29143694, 91601091
Jets, 8312584, 11103333, 16829663, 3686582, 32326388, 72258550, 40032021, 16250585, 13264672, 19732533, 89279811
Jaguars, 10643051, 9624516, 16294329, 7545000, 27210312, 71317208, 43653066, 15296076, 17903811, 15161083, 92014036
49ers, 8123750, 4595789, 18270362, 9411908, 28590075, 68991884, 15629895, 28266551, 10917647, 7339280, 62153373
Broncos, 3246902, 5405848, 26530858, 7025201, 24348427, 66557236, 17364978, 34335121, 14429444, 25748137, 91877680
Texans, 2855146, 9441375, 13499406, 6509492, 31861807, 64167226, 24618245, 20496302, 5768989, 19920748, 70804284
Titans, 9893811, 9184075, 13084763, 8993116, 19437610, 60593375, 21149790, 30632231, 14285331, 14251212, 80318564
